,AMIS_db,AMIS_dbp_kg,AMIS_dbp_uni,ARAND_db,ARAND_dbp_kg,ARAND_dbp_uni,Exec_time_db,Exec_time_dbp_kg,Exec_time_dbp_uni,epsilon,n_clusters_db,n_clusters_dbp_kg,n_clusters_dbp_uni,n_noise_db,n_noise_dbp_kg,n_noise_dbp_uni
22,0.0,0.0,0.0,0.0,0.0,0.0,0.0013425350189208984,0.08309268951416016,0.007939577102661133,2.6999999999999993,1.0,1.0,1.0,0.0,0.0,0.0
23,0.0,0.0,0.0,0.0,0.0,0.0,0.0013828277587890625,0.08513760566711426,0.00895833969116211,2.7999999999999994,1.0,1.0,1.0,0.0,0.0,0.0
24,0.0,0.0,0.5178187227382037,0.0,0.0,0.4447649957927636,0.0014979839324951172,0.08744335174560547,0.008763313293457031,2.8999999999999995,1.0,1.0,1.0,0.0,0.0,80.0
25,0.0,0.0,0.0,0.0,0.0,0.0,0.0015230178833007812,0.0853126049041748,0.008777141571044922,2.9999999999999996,1.0,1.0,1.0,0.0,0.0,0.0
26,0.0,0.0,0.0,0.0,0.0,0.0,0.0014371871948242188,0.08443093299865723,0.009156227111816406,3.0999999999999996,1.0,1.0,1.0,0.0,0.0,0.0
27,0.0,0.0,0.0,0.0,0.0,0.0,0.0014755725860595703,0.08482623100280762,0.008466958999633789,3.1999999999999993,1.0,1.0,1.0,0.0,0.0,0.0
28,0.0,0.0,0.0,0.0,0.0,0.0,0.0013234615325927734,0.08444452285766602,0.00805044174194336,3.2999999999999994,1.0,1.0,1.0,0.0,0.0,0.0
29,0.0,0.0,0.0,0.0,0.0,0.0,0.0014233589172363281,0.08405566215515137,0.008396625518798828,3.3999999999999995,1.0,1.0,1.0,0.0,0.0,0.0
30,0.0,0.0,0.0,0.0,0.0,0.0,0.0013086795806884766,0.08454632759094238,0.00801992416381836,3.499999999999999,1.0,1.0,1.0,0.0,0.0,0.0
31,0.0,0.0,0.0,0.0,0.0,0.0,0.0012378692626953125,0.08287930488586426,0.007772207260131836,3.599999999999999,1.0,1.0,1.0,0.0,0.0,0.0
32,0.0,0.0,0.5466239616166824,0.0,0.0,0.47780024529333087,0.0012829303741455078,0.08362960815429688,0.009141683578491211,3.6999999999999993,1.0,1.0,1.0,0.0,0.0,57.0
